Date,MD confirmed,ME confirmed,MD deaths,ME deaths
2020-07-30,87177,3912,3539,123
2020-07-31,88346,3937,3547,123
2020-08-01,89365,3937,3557,123
2020-08-02,90274,3958,3568,123
2020-08-03,91144,3970,3571,124
2020-08-04,91854,3977,3580,123
2020-08-05,92426,3994,3593,124
2020-08-06,93005,3999,3602,124
2020-08-07,93806,4016,3613,124
2020-08-08,94581,4028,3626,125
2020-08-09,95503,4044,3634,125
2020-08-10,96258,4051,3640,125
2020-08-11,96843,4052,3652,126
2020-08-12,97384,4070,3665,126
2020-08-13,98160,4089,3675,126
2020-08-14,98875,4116,3684,126
2020-08-15,99693,4144,3691,127
2020-08-16,100212,4168,3698,127
2020-08-17,100715,4197,3699,127
2020-08-18,101235,4213,3705,127
2020-08-19,101649,4235,3715,127
2020-08-20,102229,4253,3722,128
2020-08-21,102899,4286,3732,129
2020-08-22,103523,4318,3739,130
2020-08-23,104102,4336,3746,131
2020-08-24,104669,4357,3751,131
2020-08-25,105046,4369,3758,131
2020-08-26,105486,4389,3771,132
2020-08-27,106063,4414,3781,132
2020-08-28,106664,4436,3786,132
2020-08-29,107294,4492,3801,132
2020-08-30,107791,4512,3811,132
2020-08-31,108249,4527,3814,132
2020-09-01,108863,4549,3817,132
2020-09-02,109319,4568,3823,133
2020-09-03,110012,4618,3833,133
2020-09-04,110831,4633,3843,134
2020-09-05,111607,4633,3854,134
2020-09-06,112119,4633,3859,134
2020-09-07,112883,4714,3862,134
2020-09-08,113239,4633,3866,134
2020-09-09,113575,4760,3869,134
2020-09-10,114078,4792,3880,134
2020-09-11,114724,4834,3885,135
2020-09-12,115533,4863,3892,134
2020-09-13,116110,4904,3897,134
2020-09-14,116646,4633,3898,134
2020-09-15,117245,4939,3901,134
2020-09-16,117888,4962,3910,138
2020-09-17,118519,5005,3919,138
2020-09-18,119062,5035,3926,138
2020-09-19,119744,5035,3932,139
2020-09-20,120156,5079,3937,139
2020-09-21,120568,5108,3940,140
2020-09-22,120912,5147,3949,140
2020-09-23,121297,5171,3959,140
2020-09-24,121800,5215,3964,140
2020-09-25,122359,5235,3974,140
2020-09-26,122972,5260,3981,140
2020-09-27,123403,5288,3985,140
2020-09-28,123880,5301,3994,140
2020-09-29,124311,5338,3999,141
2020-09-30,124725,5391,4006,141
2020-10-01,125510,5431,4007,142
2020-10-02,126222,5468,4012,142
2020-10-03,126819,5486,4012,142
2020-10-04,127290,5521,4017,142
2020-10-05,127791,5545,4019,142
2020-10-06,128204,5566,4024,142
2020-10-07,128664,5604,4031,142
2020-10-08,129425,5639,4038,142
2020-10-09,130159,5666,4045,143
2020-10-10,130795,5696,4046,143
2020-10-11,131357,5723,4059,143
2020-10-12,131861,5755,4061,143
2020-10-13,132343,5782,4068,143
2020-10-14,132918,5818,4076,143
2020-10-15,133548,5836,4086,144
2020-10-16,134329,5865,4088,145
2020-10-17,135127,5913,4095,146
2020-10-18,135657,5939,4098,146
2020-10-19,136154,5962,4101,146
2020-10-20,136744,5989,4105,146
2020-10-21,137236,6027,4114,146
2020-10-22,137979,6064,4125,146
